"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"172","Mexico",2000,1,3,"Base Qof p_durable",1,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",1,"1"
"173","Mexico",2006,1,9,"Base Qof p_durable",7,"Base Qof bmr_demdur",18,"Mainwaring & Su (2021) - age_demo",7,"7"
"174","Mexico",2012,1,15,"Base Qof p_durable",13,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",13,"13"
"175","Mexico",2018,1,21,"Base Qof p_durable",19,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",19,"19"
"176","Nicaragua",1984,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"177","Nicaragua",1990,1,0,"Base Qof p_durable",7,"Base Qof bmr_demdur",6,"Mainwaring & Su (2021) - age_demo",7,"7"
"178","Nicaragua",1996,1,6,"Base Qof p_durable",13,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",13,"13"
"179","Nicaragua",2001,1,11,"Base Qof p_durable",18,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",18,"18"
"180","Nicaragua",2006,1,16,"Base Qof p_durable",23,"Base Qof bmr_demdur",22,"Mainwaring & Su (2021) - age_demo",23,"23"
"181","Nicaragua",2011,1,21,"Base Qof p_durable",28,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",28,"28"
"182","Nicaragua",2016,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"183","Panama",1994,1,5,"Base Qof p_durable",4,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",4,"4"
"184","Panama",1999,1,10,"Base Qof p_durable",9,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",9,"9"
"185","Panama",2004,1,15,"Base Qof p_durable",14,"Base Qof bmr_demdur",15,"Mainwaring & Su (2021) - age_demo",14,"14"
"186","Panama",2009,1,20,"Base Qof p_durable",19,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",19,"19"
"187","Panama",2014,1,25,"Base Qof p_durable",24,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",24,"24"
"188","Panama",2019,1,NA,NA,29,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",29,"29"
"189","Paraguay",1989,1,0,"Base Qof p_durable",179,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
